server,title,owner,id,secret,isfamily,isfriend,farm,ispublic
5678,/ ami /,20596166@N00,30046015293,6e9c164dbe,0,0,6,1
1669,Homemade Mexican Chicken Burrito Bowl,97092379@N04,25891211385,4fe0044a22,0,0,2,1
7254,Baja Sol - Grande Chicken Burrito Bowl,39908901@N06,7729784086,fced30c132,0,0,8,1
6060,Qdoba Naked Burrito,7471115@N08,5908005177,f20e0c7302,0,0,7,1
5109,Smoky Chipotle Vegetarian Bowl,21806643@N05,5631471286,b6117228a9,0,0,6,1
5287,Chipotle Burrito Bowl,7471115@N08,5381998511,737d57f572,0,0,6,1
5005,Qdoba Naked Chicken Burrito,7471115@N08,5367133669,4c2899472d,0,0,6,1
5290,Vegetarian Burrito Bowl,88025588@N00,5250850028,a34e0be34b,0,0,6,1
2787,Chipotle Burrito Bowl Sauced,7390466@N06,4329287440,0f8c418ca6,0,0,3,1
4032,Chipotle Burrito Bowl Unsauce,7390466@N06,4329286464,8340c9626d,0,0,5,1
2356,Chipotle,48708173@N00,2299936422,ceeed3d09d,0,0,3,1
7725,pulled pork,44521523@N00,27995626195,446bda8803,0,0,8,1
7757,Chipotle Burrito Bowl,40646519@N00,27846355392,a8d7b6e8f7,0,0,8,1
7085,"The burrito bowls at Chipotle are the best!!  #throwback to Chipotle in Lansing Mall, planning a Michigan trip soon - can't wait!! 💯💯🔥🔥 #Chipotle #food #burritobowl #steak #foodie #nomnom #LansingMall #Lansing #Michigan #sourcream #lettu",132243930@N06,27143934254,eb9e52b1a8,0,0,8,1
7638,Happy Cinco de Mayo,36454748@N00,26806384636,7a7d46de17,0,0,8,1
7138,I Feel Appreciated.,66363658@N03,26739025851,16bf62162d,0,0,8,1
1698,thirty-nine,38116435@N00,24815606971,44bc30e14d,0,0,2,1
1633,Each One Reach One,31384833@N08,24143171514,7e00c6e591,0,0,2,1
701,Moe's Burrito Bowl,17741791@N00,22917606253,65b964341e,0,0,1,1
779,DSC04539,29462565@N00,21678427709,bde1ce30d1,0,0,1,1
5760,Skinny Burrito Bowl,60140120@N03,20529834761,372a363cf5,0,0,6,1
5666,Skinny Burrito Bowl,60140120@N03,20336742149,ea7b58807a,0,0,6,1
5816,Skinny Burrito Bowl,60140120@N03,20335432318,8a5caf1f07,0,0,6,1
5737,Skinny Burrito Bowl,60140120@N03,20336741699,1174efde77,0,0,6,1
3856,/ bloomington /,20596166@N00,15200917959,0df14c1f13,0,0,4,1
2947,/ bloomington /,20596166@N00,15387343912,b166569420,0,0,3,1
5562,IMG_6364.jpg,29229401@N05,15135051982,0d003bcc70,0,0,6,1
2862,Burrito bowl (Project 365: 93/365),65447217@N00,13614311504,15ffd7861f,0,0,3,1
7311,Burrito bowl,65447217@N00,13613959915,81873500cd,0,0,8,1
3688,Burrito bowl,65447217@N00,13614309984,af228ef9b2,0,0,4,1
3715,burrito bowl,107258108@N06,10728205426,dec71a87f9,0,0,4,1
7363,Chipotle's Burrito Bowl,56079021@N03,8835033396,5454af2e7a,0,0,8,1
8525,IMG_3126,68734733@N02,8649973030,a74e10aeb9,0,0,9,1
8403,IMG_3132,68734733@N02,8648583269,1fefe2d17f,0,0,9,1
8528,IMG_3131,68734733@N02,8649685882,6b6cf0e424,0,0,9,1
8246,IMG_3128,68734733@N02,8648581035,81fbb6df09,0,0,9,1
8261,IMG_3127,68734733@N02,8648579165,7c78d0ed69,0,0,9,1
8107,IMG_3126,68734733@N02,8649680884,1d54c35ecb,0,0,9,1
8535,IMG_3124,68734733@N02,8649679324,a2ed5ecd06,0,0,9,1
8522,IMG_3122,68734733@N02,8649677838,f0293be4ab,0,0,9,1
8395,IMG_3119,68734733@N02,8648571833,63cc3ced34,0,0,9,1
8533,IMG_3114,68734733@N02,8649673552,d129c520f1,0,0,9,1
8537,IMG_3108,68734733@N02,8649671350,16745b6203,0,0,9,1
8086,Sofritas Burrito Bowl From Chipotle,25414418@N05,8515082172,e10a7ae7c1,0,0,9,1
8227,District Taco - Chicken Burrito Bowl,39908901@N06,8365425291,b2c7506763,0,0,9,1
8212,Burrito Bowl @ Chipotle Mexican Grill,48380597@N03,8292872052,c4cf2b4ce8,0,0,9,1
8224,,91151516@N03,8282687342,b2d26c6718,0,0,9,1
8172,One Pound of Future Punishment,76417968@N05,8038195305,a76722939b,0,0,9,1
8176,Knab Assaults His Food (Part 2),76417968@N05,8038199300,dce84d82d4,0,0,9,1
8316,Homemade Burrito Bowl,39440901@N04,8014160209,782b894cf2,0,0,9,1
8453,Burrito Bowl & Negra Modelo,45408192@N00,8001401417,cebdb883df,0,0,9,1
8178,Lunch,85876150@N02,7921510478,2250ab2428,0,0,9,1
8282,Chicken Burrito Bowl @ Baja Sol,39908901@N06,7730134748,e1b148dab5,0,0,9,1
8424,Chipotle,92283658@N00,7712113922,cfb13204d2,0,0,9,1
7117,Burrito Amigo Bowl,24733738@N02,7466031264,d02d20dd15,0,0,8,1
7079,Chipotle Burrito Bowl,92283658@N00,7377548980,b8e5e42dce,0,0,8,1
7215,BurritoBowl10,53411621@N08,7259598480,c6906e7af9,0,0,8,1
7225,BurritoBowl9,53411621@N08,7259598386,36e310c618,0,0,8,1
7092,BurritoBowl8,53411621@N08,7259598204,32035bf5e9,0,0,8,1
8025,BurritoBowl6,53411621@N08,7259598062,35581a1f95,0,0,9,1
7098,BurritoBowl7,53411621@N08,7259598110,65124b0674,0,0,8,1
7239,BurritoBowl5,53411621@N08,7259598022,c87e754d83,0,0,8,1
7094,BurritoBowl4,53411621@N08,7259597972,ba6b53e5e6,0,0,8,1
8159,BurritoBowl3,53411621@N08,7259597904,47965c1281,0,0,9,1
8164,BurritoBowl2,53411621@N08,7259597856,76d3ffbc25,0,0,9,1
8162,BurrutoBowl1,53411621@N08,7259597820,8570d602ff,0,0,9,1
7112,Burrito Bowl @ Chipotle Mexican Grill - Ponce de Leon,50810391@N04,7066030075,5884eacafd,0,0,8,1
7049,Burrito Bowl @ Freebirds,46815320@N00,6865835686,0604a8aa78,0,0,8,1
